theme	strategy_doc	strategy_claim	implementation_evidence	status	note
ai-scribe-removal	CHANGELOG.md	"Removed scribe_update() and stage_project_state()"	dracon-sync/src/scribe.rs missing; rg "scribe_update|stage_project_state" src → 0 hits; AUDIT.md 1.2 P1	consistency_old_audit_drift	audit flagged P1; now resolved (files removed) but CHANGELOG still lists scribe/ai-bumper feature toggles
ai-scribe-features	CHANGELOG.md (Unreleased)	"Version bumper prevents double-bump when both scribe and ai-bumper features enabled"	dracon-sync/Cargo.toml [features]: default = [] (no scribe/ai-bumper declared); rg "cfg(feature = ..scribe..)" src → 0 hits	changelog_drift	CHANGELOG references nonexistent Cargo features
orphan-warden-service	AUDIT.md 1.1 P1	dracon-warden.service references nonexistent daemon subcommand	ls dracon-warden/dracon-warden.service → missing; rg "Command::Daemon" src/main.rs → 0 hits; install.sh → 0 matches for warden.service	resolved	file deleted; no install.sh change needed (never installed it)
test-counts	AGENTS.md	"431 tests" / "692 passed, 6 ignored" (line 846-850)	Latest run: cargo test --workspace -- --test-threads=1 → 705 passed, 9 ignored (release-readiness report)	doc_drift_p2	subcrate counts also stale (dracon-sync 431 vs actual 705 workspace)
cargo-fmt-invocation	README.md line 212	"cargo fmt --check" as a dev command	For a workspace, that command is invalid (workspace has no root crate source); CI uses `cargo fmt -p dracon-sync -p dracon-system -p dracon-warden -- --check`	doc_drift_p3	README example would fail; AGENTS.md uses the correct per-package form
release-pipeline	AGENTS.md "Release Pipeline" section	auto_tag/auto_release/auto_publish/nix_auto_update with per-repo opt-in	Implemented in sync.rs; example config documents defaults; live policy has sync_visibility=true but no [[publish_targets]]	consistent	default behaviour is safe; no actual publishing targets configured
auto_github_private_ban	AGENTS.md "NEVER create suffixed repos" warning	create_github_private_remote has suffix-loop ban	Implemented (post-funding/cleanup-except-pi removed 61 orphans)	consistent_with_caveat	ban is enforced; historical 61 orphans cleaned up
indexlock-coordination	ARCHITECTURE.md "Coordination: IndexLock"	O_EXCL on .git/index.lock	Verified: dracon-warden/src/main.rs IndexLock at 946-998; dracon-sync/src/sync.rs:2121-2124; reports confirm working	consistent	audit also confirmed intact
no-kill-guard	AGENTS.md "CRITICAL INVARIANT: The guard NEVER kills processes"	dracon-system/src/main.rs:586-587 has explicit comment; renice only	rg "SIGKILL|SIGTERM|nix::sys::signal|libc::kill" in dracon-system/src → 0 matches	consistent	audit confirmed
merge-strategy	ARCHITECTURE.md/AGENTS.md	"git pull --no-rebase (merge)"	CHANGELOG 0.112.0 "Merge strategy changed from `git pull --rebase` to `git pull --no-rebase`"	consistent	documented and implemented
