id	priority	theme	recommendation	effort	risk	requires_approval	cited_evidence
R1	P1	changelog-vs-source	Rewrite CHANGELOG.md so [0.112.4] and [Unreleased] match the actual source. Remove scribe/ai-bumper/generate_commit_message/parse_ai_bump_response entries that no longer exist.	S	none	yes	CHANGELOG.md L80-263 (Unreleased + 0.112.0 block); rg "cfg(feature = ..scribe..)" dracon-sync/src = 0; rg "scribe_update|SimpleAiService" = 0
R2	P1	inventory-staleness	Refresh docs/audit/2026-06-11/release-readiness/REPORT.md (or add a freshness header) — fresh inventory now shows browser-extensions-shared and folder-auto-banner as STUCK_PUSH.	S	none	no	dracon-sync repos --json --full-path; release-readiness/REPORT.md
R3	P1	product-roadmap	Create an actual product docs/ROADMAP.md (rename current index to docs/DOCS_INDEX.md).	M	low	yes	docs/ROADMAP.md is a doc index (44 lines), not a roadmap
R4	P2	subcrate-version-skew	Resolve workspace 0.112.4 vs subcrate 0.1.5/0.2.0/0.3.0 skew. Pick one model.	S-M	low	yes	dracon-sync/Cargo.toml version = "0.1.5"; root Cargo.toml [workspace.package] version = "0.112.4"
R5	P2	test-counts	Replace AGENTS.md hard test counts (lines 846-850) with "see latest CI run" or a CI-enforced assertion.	XS	none	no	AGENTS.md L846-850 claim 431/692; release-readiness report says 705/9/22
R6	P2	secret-layout	Rename registry/crates-io-token to cratesio.env OR add cratesio.env under registry/ so load_secret finds it.	S	low	yes	secrets.rs:load_secret scans *.env; registry/crates-io-token has no .env extension
R7	P2	agents-md-overload	Split AGENTS.md (891 lines) into docs/STRATEGY.md + docs/REFERENCE.md + slim AGENTS.md (agent handbook).	M	low	yes	AGENTS.md 43505 bytes, 891 lines
R8	P3	readme-fmt	README.md L212: replace "cargo fmt --check" with the per-package form used in CI and AGENTS.	XS	none	no	README.md L212; .github/workflows/ci.yml L42
R9	P3	unused-unsafe	Remove the unsafe { std::env::set_var(...) } wrappers (AUDIT 1.5 P3).	XS	none	no	dracon-sync/src/report.rs:2745-2763; dracon-sync/src/print.rs:158-164
R10	P3	cross-links	Add cross-links from docs/ARCHITECTURE.md to per-utility BLUEPRINTs and surviving docs/design/*.md.	XS	none	no	docs/ARCHITECTURE.md; dracon-sync/BLUEPRINT.md; docs/design/cli-print-style.md
R11	P3	secret-layout-docs	Document the new ~/.dracon/secrets/{pat,registry,ai,...} layout in AGENTS.md (or a linked section).	S	none	no	AGENTS.md "Tokens & Secrets" still describes the old path; git-auth-prompt report
R12	P3	audit-agents-location	Move AUDIT.md and AGENTS.md under dated subfolders (docs/audit/.../AUDIT.md, docs/strategy/AGENTS.md) so root is thin.	S	low	yes	root AUDIT.md (60K), AGENTS.md (43K)
